no,alpha,m,theta1,theta2,sigma_xs1,sigma_xs2,sigma_x_id,tax,recovery1,recovery2,iota1,iota2,XD11,XD12,XU11,XU12,K1,c1,c2
1,0.627,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.039445655,0.03779555,1.885146927,1.605243995,39.39517817,2.584697155,3.303589746
2,0.6,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.040932188,0.038846511,1.869447835,1.596955825,25.49251946,1.774613161,2.250123047
3,0.55,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.043104995,0.040304097,1.84484342,1.581465282,12.79473146,0.99746714,1.282606875
4,0.5,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.04467886,0.041269927,1.826528414,1.571193848,7.179847448,0.631437507,0.816204375
5,0.45,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.045476535,0.041582274,1.814639479,1.56581433,4.357791676,0.433385888,0.5625
6,0.4,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.045552264,0.041294446,1.800445215,1.559387698,2.792443562,0.315658181,0.41625
7,0.35,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.044542788,0.040085321,1.798977632,1.561734865,1.860653146,0.237495397,0.309375
8,0.3,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.043903285,0.039255656,1.802362538,1.563919632,1.263672407,0.189950493,0.2546875
9,0.25,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.041866918,0.037229346,1.814801476,1.575558742,0.867484117,0.152254951,0.2025
10,0.2,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.039484584,0.034940078,1.828929561,1.588438608,0.583838219,0.125419031,0.1725
11,0.15,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.036201238,0.031899911,1.866147311,1.617301905,0.380470464,0.10352877,0.1425
12,0.1,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.032263754,0.02832493,1.927779333,1.652491341,0.224613618,0.086128947,0.121875
13,0.65,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.037936109,0.036689123,1.903529469,1.618425311,59.80482858,3.72306791,4.745714063
14,0.7,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.033778704,0.033511987,1.943117233,1.644476103,179.7592386,9.934754758,12.46906719
15,0.75,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.028718287,0.029468022,1.998783889,1.680989883,801.0600563,39.29010305,48.90101313
16,0.8,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.022657744,0.024094633,2.07178294,1.730692883,7066.205531,305.4379281,374.5943469
17,0.85,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.015661805,0.017284009,2.177146711,1.803134433,241351.4668,9100.625438,11018.0731
18,0.9,0.1,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.008201231,0.009401998,2.348950752,1.923154292,235041741,7649432.272,9072444.85
19,0.627,0.08,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.035125539,0.033692745,1.907925553,1.621340396,55.65753366,3.292156189,4.170782054
20,0.627,0.06,-0.18,0.06,0.34,0.19,0.45,0.25,0.55,0.7,0.03,0.01,0.030062369,0.028873531,1.937506041,1.640552031,83.34041081,4.391453955,5.55416026
